subid,long,lat,description,final,notes
190,-89.3933,43.04134,cell store,errands,
64,-89.3937,43.04514,check cashing,errands,
58,-89.533,42.98371,child’s music class,errands,
58,-117.693,33.96499,child’s school,errands,
58,-89.5459,43.0431,child’s school,errands,
33,-89.2394,42.91386,child’s school (son),errands,
169,-89.4673,43.03269,childcare,errands,
252,-89.496,43.02444,childcare,errands,
252,-89.3737,43.07707,childcare,errands,
264,-89.4992,43.09676,coin shop and jewelers,errands,
48,-89.3448,43.10212,comic book store,errands,
178,-89.3448,43.10212,comic shop,errands,
2,-89.2727,43.16984,costco,errands,
119,-89.3891,43.07378,court,,
223,-88.2292,43.02265,court,,
223,-89.384,43.07117,court,,
232,-89.3824,43.0723,court,,
39,-89.384,43.07117,courthouse,,
79,-89.5139,43.09546,courthouse,,
128,-83.3261,42.65566,courthouse,,
158,-89.384,43.07117,courthouse,,
44,-89.4502,43.05467,craft store,errands,
183,-89.4989,43.05617,dad’s work,errands,
15,-89.311,43.06622,dept. store,errands,
232,-89.3952,43.04472,dig n save,errands,
238,-89.4624,43.53909,discount smokes,errands,
215,-89.5289,43.07877,dmv,errands,
218,-89.5289,43.07877,dmv,errands,
39,-89.401,43.05935,drop off spot,errands,
1,-89.3268,43.1099,drop off/ computer for repair,errands,
224,-89.4927,43.09491,errands,errands,
54,-89.4917,45.91437,flea market,errands,
81,-89.635,42.8162,friend’s thrift store,errands,
6,-89.4068,43.07496,friend’s work uw medical,errands,
54,-89.711,45.87105,fudge shop,errands,
158,-89.2986,43.12904,furniture,errands,
37,-89.4166,43.03688,furniture store,errands,
240,-89.3964,43.07507,gamestop,errands,
225,-89.365,43.04447,garage sale,errands,
225,-89.3664,43.04419,garage sale,errands,
39,-89.3557,43.13219,gas station,errands,
78,-89.8063,43.58857,gas station,errands,
78,-89.7973,43.58886,gas station,errands,
78,-89.7672,43.46041,gas station,errands,
88,-89.7347,43.29357,gas station,errands,
191,-88.9819,43.18497,gas station,errands,
191,-89.0694,43.16918,gas station,errands,
191,-88.91,43.09066,gas station,errands,
85,-89.3848,42.92577,gift shop,errands,
218,-89.4045,43.07153,girlfriends work,errands,
29,-89.2052,43.20169,girls gymnastics,errands,
29,-89.2052,43.20169,girls gymnastics,errands,
84,-89.3631,43.12858,goodwill,errands,
232,-89.2426,42.91958,goodwill,errands,
33,-88.8608,42.94124,goodwill thrift store,errands,
223,-89.3978,43.07295,grocery store,errands,
131,-89.4168,43.06488,hair,errands,
97,-89.4706,43.57034,hair cuts,errands,
81,-89.3753,42.60603,hair salon,errands,
167,-89.3241,43.0482,haircut,errands,
255,-89.3756,43.08517,haircut,errands,
43,-89.1231,43.22872,helping a friend,,
77,-89.3012,43.13618,hotel - visiting a friend,,
48,-89.3824,43.07659,hotel (brother’s temp. residence),,
169,-89.2306,43.19274,house hunting,,confirm that they didn't end up moving here
169,-89.231,43.19307,house hunting,,confirm that they didn't end up moving here
169,-89.2925,43.08524,house hunting,,confirm that they didn't end up moving here
169,-89.3646,43.04299,house hunting,,confirm that they didn't end up moving here
222,-89.4344,43.0731,infinite vapor,errands,
179,-89.3553,43.11507,insurance agent,errands,
248,-89.3698,43.08523,jiffy lube,errands,
214,-89.5459,43.0431,kid’s school,errands,
225,-89.3324,43.21737,kid’s school,errands,
265,-89.2966,43.09471,kid’s school,errands,
245,-89.3501,43.12757,kids camp,errands,
187,-89.4979,43.05709,kids martial arts,errands,
40,-89.2059,43.09729,kids school,errands,
40,-89.2219,43.09096,kids school,errands,
40,-89.3234,43.07182,kids school,errands,
94,-89.0372,42.5137,kids school,errands,
187,-89.4892,43.02452,kids school,errands,
119,-90.6472,42.986,kids sports game,errands,
179,-89.4265,43.03454,landlord office,errands,
169,-89.3265,43.0711,lashes,errands,
66,-89.2966,43.10583,laundromat,errands,
76,-89.2995,43.01324,laundromat,errands,
212,-89.3819,43.07374,lawyer,,
215,-88.8372,43.45437,lawyer,,
215,-89.3853,43.07613,lawyer,,
264,-89.4067,43.0322,lawyer,,
167,-89.3835,43.05621,leasing office,errands,
213,-89.2116,43.18037,looking at car,errands,
213,-89.2115,43.1804,looking at car,errands,
23,-89.7004,42.92956,looking at real estate,,confirm that they didn't end up moving here
11,-89.3061,43.12442,mall,errands,
19,-88.4701,44.2697,mall,errands,
25,-93.2912,44.744,mall,errands,
38,-88.2127,41.75845,mall,errands,
66,-89.3061,43.12442,mall,errands,
66,-89.3057,43.12515,mall,errands,
82,-89.3061,43.12438,mall,errands,
131,-89.3049,43.12677,mall,errands,
197,-88.0369,42.04643,mall,errands,
200,-89.5056,43.05698,mall,errands,
25,-93.244,44.85372,mall of america,errands,
179,-93.2429,44.85346,mall of america,errands,
189,-89.329,43.16548,mint julep motors,errands,
27,-88.5804,42.57097,mom’s volunteer site,errands,
196,-89.3924,43.06778,mom’s work,errands,
213,-89.4508,43.18997,mom’s work,errands,
80,-89.5127,43.05998,nail,errands,
81,-89.4377,42.70758,nail salon,errands,
109,-89.511,43.06128,nail salon,errands,
163,-89.429,43.01606,nail salon,errands,
66,-89.2284,43.18181,nail spa,errands,
166,-89.6145,44.9745,nursing home,,
269,-90.4012,43.33517,nursing home,,
179,-89.4471,43.07434,office,,
43,-89.3959,43.03878,p.o.,errands,
52,-89.3558,43.03992,p.o.,errands,
209,-89.2279,43.18116,p.o.,errands,
215,-89.3959,43.03878,p.o.,errands,
175,-89.4614,43.07361,partner’s work,errands,
211,-89.3261,43.0539,pet clinic,errands,
131,-89.5012,43.0543,pet store,errands,
76,-89.368,42.91616,pet vet,errands,
269,-89.498,43.01369,pick n save,errands,
192,-89.512,43.10549,plant store,errands,
255,-89.4781,43.0099,primary vet,errands,
240,-89.4061,43.06811,property manager office,errands,
213,-89.3686,43.07921,puppysitter,errands,
97,-89.4783,43.55868,rent payment,errands,
180,-81.788,26.53592,rental car,errands,
189,-89.3378,43.21807,replacement car,errands,
2,-89.3126,43.12241,salon,errands,
37,-89.3988,43.07287,salon,errands,
81,-89.4377,42.70757,salon,errands,
103,-89.2703,43.16808,salon,errands,
130,-89.3553,43.09249,salon,errands,
166,-89.4811,43.0149,salon,errands,
221,-90.7185,42.49027,salon,errands,
188,-89.5122,43.05928,salon supply store,errands,
255,-89.4003,43.06129,secondary vet,errands,
137,-89.3667,43.08226,services,errands,
137,-89.3935,43.04593,services,errands,
189,-89.4159,43.06548,shop,errands,
193,-77.3965,38.85419,shopping mall,errands,
150,-89.5203,43.0617,son guitar lessons,errands,
197,-89.4068,43.03063,son’s guitar lessons,errands,
187,-89.4982,43.0563,son’s ju-jitsu class,errands,
33,-89.2174,42.92,son’s school,errands,
33,-89.2351,42.92364,son’s school,errands,
66,-89.2541,43.1652,son’s school,errands,
27,-88.5427,42.69367,son’s work - cousins subs,errands,
205,-88.7116,43.18754,sons boarding school,errands,
245,-89.2773,43.02611,sons education,errands,
245,-89.2943,42.91873,sons horseback riding,errands,
25,-89.3192,43.06277,sports for son,errands,
222,-89.3952,43.04472,st vinnies,errands,
28,-89.3588,43.10659,storage unit,errands,
166,-89.3753,42.91861,stylist,errands,
161,-88.9741,42.70088,tanning,errands,
180,-89.5094,43.05497,tanning,errands,
218,-89.3888,43.07497,tattoo shop,errands,
221,-90.6645,42.49552,tattoo shop,errands,
33,-89.2519,42.92352,thrift store,errands,
33,-89.2519,42.92352,thrift store,errands,
97,-89.4814,43.54908,thrift store / food pantry,errands,
189,-89.3029,42.82251,union auto sales,errands,
241,-89.3618,43.1129,ups store,errands,
252,-89.4087,43.06796,ups store,errands,
222,-89.3032,43.13032,us cellular,errands,
201,-89.4344,43.0731,vapor store,errands,
223,-89.4003,43.06129,vet,errands,
262,-89.368,42.91616,vet,errands,
175,-89.504,43.05068,vet clinic,errands,
196,-89.3253,43.0709,vet office - dog,errands,
234,-89.3456,43.10176,vet. pick up meds,errands,
269,-89.4989,43.01622,video store,errands,
15,-89.323,43.11419,vw dealership,errands,
18,-89.4611,43.19275,walgreens,errands,
76,-89.4019,43.06604,wife’s work,errands,
99,-89.4521,43.11552,wife’s work,errands,
110,-89.3984,43.0407,wife’s work,errands,
110,-89.4229,43.05711,wife’s work,errands,
263,-89.3927,43.07253,bosses house,others' home,
242,-89.2116,43.20155,boyfriend’s dad’s house,others' home,
242,-89.3385,43.10919,boyfriend’s father’s home,others' home,
222,-89.2357,42.91866,childhood home -> family does not live there now just visiting,others' home,
262,-89.0787,43.05038,coworker’s house,others' home,
262,-89.299,43.11717,coworker’s house,others' home,
240,-89.188,44.28856,dad’s cabin,others' home,
81,-89.5355,42.84406,daughter’s boyfriend’s home,others' home,
183,-89.3339,43.09957,estranged spouse’s home,others' home,
268,-104.995,39.5642,ex boyfriend’s house,others' home,
201,-88.7843,43.44414,ex-boyfriend’s home,others' home,
92,-89.3832,43.04146,ex-girlfriend’s house,others' home,
19,-89.4075,43.06823,friend of a friend,others' home,
128,-90.2152,38.60798,friend of a friend’s place,others' home,
25,-81.028,29.22172,future home (son),others' home,
218,-88.0779,42.94414,girlfriend’s dad’s house,others' home,
97,-89.4463,43.53628,home of co-worker,others' home,
187,-89.4727,43.07944,kids grandmas house,others' home,
163,-89.467,42.92887,neighbor,others' home,
180,-89.4929,43.10968,neighbors,others' home,
79,-89.4033,43.13167,old housing,others' home,
191,-89.7864,44.19977,partners property,others' home,
191,-89.7872,44.1999,partners property,others' home,
191,-89.8352,44.22009,partners property,others' home,
18,-89.2819,43.08716,rehab - family member,others' home,
18,-89.283,43.08807,rehab - family member,others' home,
48,-89.3441,43.09694,s.o. house,others' home,
242,-89.3579,43.09405,sig others dads apt,others' home,
48,-87.9712,43.02798,ball park,public drinking space,
48,-89.3304,43.08787,beer garden @ olbrich park,public drinking space,
25,-89.2926,43.12635,bowling alley,public drinking space,
104,-89.2926,43.12635,bowling alley,public drinking space,
143,-89.2427,43.17509,bowling alley,public drinking space,
158,-87.9172,43.04497,bucks,public drinking space,
183,-87.9172,43.04497,bucks,public drinking space,
79,-89.4109,43.07001,camp randall,public drinking space,
118,-73.9377,40.69321,club,public drinking space,
213,-89.3598,43.1114,club,public drinking space,
88,-89.378,43.07861,comedy club,public drinking space,
88,-89.3413,43.09402,comedy club,public drinking space,
6,-89.3848,43.07244,concert,public drinking space,
76,-89.3731,43.08338,concert,public drinking space,
259,-89.398,43.07391,concert,public drinking space,
19,-89.3809,43.07438,concert venue,public drinking space,
19,-87.8876,43.07047,concert venue,public drinking space,
19,-87.6899,41.91873,concert venue,public drinking space,
44,-89.3809,43.07438,concert venue,public drinking space,
44,-89.3887,43.07495,concert venue,public drinking space,
86,-89.3745,43.08059,concert venue,public drinking space,
175,-87.9109,43.03895,concert venue,public drinking space,
88,-89.3805,43.07125,concerts,public drinking space,
88,-89.4,43.07626,concerts,public drinking space,
48,-89.5055,43.05567,dave & buster’s games/arcade,public drinking space,
86,-87.6231,41.87588,event lalapalooza,public drinking space,
208,-93.1733,44.98169,fairgrounds/music festival,public drinking space,
166,-82.1476,28.01495,festival,public drinking space,
224,-88.0116,42.09199,horse race track,public drinking space,
270,-86.2369,39.78746,indie 500,public drinking space,
234,-89.3902,43.07536,interstate plasma,public drinking space,
262,-89.3969,43.06935,kohl center,public drinking space,
23,-89.3969,43.06935,"large venue, concerts / sporting",public drinking space,
6,-89.4092,43.07308,library cafe & bar,public drinking space,
6,-89.4,43.07626,memorial union terrace,public drinking space,
243,-87.9712,43.02798,miller park,public drinking space,
6,-87.7946,41.86516,music fest,public drinking space,
138,-89.3701,43.0795,music venue,public drinking space,
211,-89.3747,43.08089,music venue,public drinking space,
248,-89.3809,43.07438,music venue,public drinking space,
248,-89.3764,43.07979,music venue,public drinking space,
213,-89.375,43.0767,music venue/club,public drinking space,
88,-88.0611,44.50117,packer game,public drinking space,
259,-89.3969,43.06935,sporting events,public drinking space,
241,-89.3756,43.08213,venue,public drinking space,
252,-89.7377,42.95063,wedding,public drinking space,
56,-87.7593,43.71593,wedding location,public drinking space,
15,-87.9713,43.02874,brewers vs. pirates game with 50 friends & family members,public drinking spaces,
178,-89.2115,43.18285,brewery,public drinking spaces,
20,-89.7752,43.52857,casino,public drinking spaces,
109,-89.2721,43.03945,casino,public drinking spaces,
183,-87.9349,43.03021,casino,public drinking spaces,
190,-89.2721,43.03945,casino,public drinking spaces,
191,-89.2721,43.03945,casino,public drinking spaces,
37,-89.4006,43.07639,terrace,public drinking spaces,
11,-89.4,43.07626,union terrace,public drinking spaces,
193,-89.4,43.07626,union terrace,public drinking spaces,
240,-89.4,43.07626,union terrace,public drinking spaces,
248,-89.4,43.07626,union terrace/music etc,public drinking spaces,
139,-89.3664,43.12528,case worker,recovery and health,
192,-89.466,43.07492,connections counseling,recovery and health,
222,-89.503,43.04354,counseling,recovery and health,
42,-89.3978,43.05504,counselor,recovery and health,
88,-89.7193,43.28229,counselor,recovery and health,
222,-89.4926,43.05961,dbt counseling,recovery and health,
163,-89.3844,42.92574,dentist,recovery and health,
245,-89.3419,43.04767,drug testing,recovery and health,
15,-89.4031,43.059,hospital,recovery and health,
66,-89.4319,43.07632,hospital,recovery and health,
80,-89.4017,43.06488,hospital,recovery and health,
52,-89.4808,43.04872,journey,recovery and health,
207,-89.4054,43.07299,meditation,recovery and health,
212,-89.3971,43.0543,meditation center,recovery and health,
121,-89.3589,43.09109,meditation space - weekly,recovery and health,
66,-89.3953,43.04064,meet with social worker office,recovery and health,
197,-89.3999,43.06701,pharmacy,recovery and health,
66,-89.3243,43.12007,reg drug test (clinic),recovery and health,
66,-89.4038,43.13118,rehab,recovery and health,
39,-89.4611,43.53906,reiki,recovery and health,
