Column 01,Column 02,Column 03,Column 04,Column 05,Column 06,Column 07
subid,long,lat,description,Proposed label,Notes by Hannah,final
88,-89.3894,43.07568,church,public community spaces,community space / recreation,community space / recreation
97,-89.4729,43.57222,church,public community spaces,community space / recreation,community space / recreation
98,-89.7751,43.15025,church,public community spaces,community space / recreation,community space / recreation
100,-89.533,42.98371,church,public community spaces,community space / recreation,community space / recreation
119,-89.3641,43.12168,church,public community spaces,community space / recreation,community space / recreation
136,-89.5333,42.9891,church,public community spaces,community space / recreation,community space / recreation
166,-89.0762,43.05094,church,public community spaces,community space / recreation,community space / recreation
76,-89.453,43.07184,cinema,public community spaces,community space / recreation,community space / recreation
15,-89.4239,43.00237,city hall,public community spaces,community space / recreation,community space / recreation
80,-89.3966,43.03851,client,,community space / recreation,community space / recreation
118,-73.9377,40.69321,club,,public drinking space,public drinking space
213,-89.3598,43.1114,club,,public drinking space,public drinking space
264,-89.4992,43.09676,coin shop and jewelers,errands,,errands
37,-88.841,43.84322,college,,community space / recreation,community space / recreation
29,-89.4573,43.53893,columbia co. courthouse,public community spaces,community space / recreation,community space / recreation
88,-89.378,43.07861,comedy club,public community spaces,public drinking space,public drinking space
88,-89.3413,43.09402,comedy club,public community spaces,public drinking space,public drinking space
48,-89.3448,43.10212,comic book store,public community spaces,errands,errands
178,-89.3448,43.10212,comic shop,errands,errands,errands
28,-89.3437,43.09673,community center,public community spaces,community space / recreation,community space / recreation
30,-89.367,43.07976,community center,public community spaces,community space / recreation,community space / recreation
80,-89.5027,43.06693,community center,public community spaces,community space / recreation,community space / recreation
80,-89.502,43.06635,community center,public community spaces,community space / recreation,community space / recreation
225,-89.232,43.17538,community garden,public community spaces,community space / recreation,community space / recreation
6,-89.3848,43.07244,concert,public community spaces,public drinking space,public drinking space
76,-89.3731,43.08338,concert,public community spaces,public drinking space,public drinking space
259,-89.398,43.07391,concert,public community spaces,public drinking space,public drinking space
19,-89.3809,43.07438,concert venue,public community spaces,public drinking space,public drinking space
19,-87.8876,43.07047,concert venue,public community spaces,public drinking space,public drinking space
19,-87.6899,41.91873,concert venue,public community spaces,public drinking space,public drinking space
44,-89.3809,43.07438,concert venue,public community spaces,public drinking space,public drinking space
44,-89.3887,43.07495,concert venue,public community spaces,public drinking space,public drinking space
86,-89.3745,43.08059,concert venue,public community spaces,public drinking space,public drinking space
175,-87.9109,43.03895,concert venue,public community spaces,public drinking space,public drinking space
88,-89.3805,43.07125,concerts,public community spaces,public drinking space,public drinking space
88,-89.4,43.07626,concerts,public community spaces,public drinking space,public drinking space
88,-89.3841,43.07497,concerts & farmer’s market,public community spaces,community space / recreation,community space / recreation
40,-87.6473,44.23182,condo,,others' home,temporary residence
40,-87.6459,44.22811,condo,,others' home,temporary residence
117,-87.6028,41.79194,conference,public community spaces,community space / recreation,community space / recreation
119,-89.0229,42.69028,conference,public community spaces,community space / recreation,community space / recreation
166,-89.7797,43.66168,conference,public community spaces,community space / recreation,community space / recreation
192,-89.466,43.07492,connections counseling,public community spaces,recovery and health,recovery and health
34,-87.9173,43.03976,convention,public community spaces,community space / recreation,community space / recreation
16,-117.163,32.70682,convention center,public community spaces,community space / recreation,community space / recreation
2,-89.2727,43.16984,costco,errands,,errands
222,-89.503,43.04354,counseling,public community spaces,recovery and health,recovery and health
42,-89.3978,43.05504,counselor,public community spaces,recovery and health,recovery and health
88,-89.7193,43.28229,counselor,public community spaces,recovery and health,recovery and health
58,-83.0322,40.23996,country club,,community space / recreation,community space / recreation
240,-89.4546,43.07932,country club,,community space / recreation,community space / recreation
270,-89.3699,43.11415,country club,,community space / recreation,community space / recreation
32,-89.381,43.07482,county bldg.,,community space / recreation,community space / recreation
119,-89.3891,43.07378,court,public community spaces,errands,errands
223,-88.2292,43.02265,court,public community spaces,errands,errands
223,-89.384,43.07117,court,public community spaces,errands,errands
232,-89.3824,43.0723,court,public community spaces,errands,errands
39,-89.384,43.07117,courthouse,public community spaces,errands,errands
79,-89.5139,43.09546,courthouse,public community spaces,errands,errands
128,-83.3261,42.65566,courthouse,public community spaces,errands,errands
158,-89.384,43.07117,courthouse,public community spaces,errands,errands
262,-89.0787,43.05038,coworker’s house,others' home,,others' home
262,-89.299,43.11717,coworker’s house,others' home,,others' home
44,-89.4502,43.05467,craft store,errands,,errands
20,-89.7688,43.57097,cycling (kalahari),,community space / recreation,community space / recreation
240,-89.188,44.28856,dad’s cabin,others' home,,others' home
183,-89.4989,43.05617,dad’s work,,errands,errands
81,-89.5355,42.84406,daughter’s boyfriend’s home,others' home,,others' home
33,-89.2329,42.92412,daughter’s day care,public community spaces,community space / recreation,community space / recreation
191,-88.7451,42.84499,daughters sports,public community spaces,community space / recreation,community space / recreation
48,-89.5055,43.05567,dave & buster’s games/arcade,public community spaces,public drinking space,public drinking space
82,-89.3779,43.07869,day shelter,public community spaces,temporary residence,temporary residence
110,-89.4056,43.03095,daycare,public community spaces,community space / recreation,community space / recreation
169,-89.2967,43.10606,daycare,public community spaces,community space / recreation,community space / recreation
204,-89.507,43.07569,daycare,public community spaces,community space / recreation,community space / recreation
156,-89.3779,43.07869,daytime assistance,public community spaces,community space / recreation,community space / recreation
32,-89.3809,43.07749,daytime support,public community spaces,community space / recreation,community space / recreation
32,-89.3809,43.07749,daytime support,public community spaces,community space / recreation,community space / recreation
222,-89.4926,43.05961,dbt counseling,public community spaces,recovery and health,recovery and health
56,-89.7918,43.61402,dells,public community spaces,community space / recreation,community space / recreation
56,-89.7847,43.61899,dells,public community spaces,community space / recreation,community space / recreation
163,-89.3844,42.92574,dentist,recovery and health,recovery and health,recovery and health
130,-104.674,39.84944,denver airport,airport,,airport
15,-89.311,43.06622,dept. store,errands,,errands
232,-89.3952,43.04472,dig n save,,errands,errands
238,-89.4624,43.53909,discount smokes,errands,,errands
215,-89.5289,43.07877,dmv,public community spaces,errands,errands
218,-89.5289,43.07877,dmv,public community spaces,errands,errands
268,-89.3607,43.08483,dog friend,,,
175,-89.5104,42.96088,dog park,public community spaces,community space / recreation,community space / recreation
158,-89.2244,43.09622,dog rescue,public community spaces,community space / recreation,community space / recreation
39,-89.401,43.05935,drop off spot,travel stop,errands,errands
1,-89.3268,43.1099,drop off/ computer for repair,errands,,errands
245,-89.3419,43.04767,drug testing,,recovery and health,recovery and health
34,-89.4079,43.07187,drumming practice,public community spaces,community space / recreation,community space / recreation
34,-89.4,43.07626,drumming practice,public community spaces,community space / recreation,community space / recreation
34,-89.4058,43.07444,drumming practice,public community spaces,community space / recreation,community space / recreation
222,-89.361,43.11344,dvr,,,
240,-88.5787,43.98251,eaa,,,
189,-89.4,43.07626,election work,,community space / recreation,community space / recreation
224,-89.4927,43.09491,errands,errands,,errands
183,-89.3339,43.09957,estranged spouse’s home,others' home,,others' home
259,-89.3805,43.07125,event center,public community spaces,community space / recreation,community space / recreation
86,-87.6231,41.87588,event lalapalooza,public community spaces,public drinking space,public drinking space
268,-104.995,39.5642,ex boyfriend’s house,others' home,,others' home
201,-88.7843,43.44414,ex-boyfriend’s home,others' home,,others' home
92,-89.3832,43.04146,ex-girlfriend’s house,others' home,,others' home
40,-89.3805,43.04423,expo,,community space / recreation,community space / recreation
208,-93.1733,44.98169,fairgrounds/music festival,public community spaces,public drinking space,public drinking space
31,-89.4574,43.18301,family fun night,,community space / recreation,community space / recreation
110,-89.3824,43.07373,farmer’s market,public community spaces,community space / recreation,community space / recreation
