subid,context_id,long,lat,description,final
161,3115,-88.9741,42.70088,tanning,errands
161,3181,-89.429,43.01606,nail salon,errands
166,3223,-89.4811,43.0149,salon,errands
166,3195,-89.3753,42.91861,stylist,errands
166,3340,-89.3991,43.05838,carwash,errands
167,3317,-89.3835,43.05621,leasing office,errands
167,3316,-89.3241,43.0482,haircut,errands
167,3352,-89.4673,43.03269,childcare,errands
169,3406,-89.3265,43.0711,lashes,errands
169,3388,-89.2967,43.10606,daycare,errands
172,3485,-89.504,43.05068,vet clinic,errands
175,3464,-89.4614,43.07448,boyfriend work,errands
175,3469,-89.4614,43.07361,partnerâ€™s work,errands
175,3519,-89.3448,43.10212,comic shop,errands
178,3569,-93.2429,44.85346,mall of america,errands
179,3575,-89.4265,43.03454,landlord office,errands
179,3571,-89.3553,43.11507,insurance agent,errands
180,3618,-89.5094,43.05497,tanning,errands
180,3637,-81.788,26.53592,rental car,errands
180,3655,-89.363,43.08447,boutique,errands
181,3676,-89.4989,43.05617,dadâ€™s work,errands
183,3678,-89.299,43.12941,best buy,errands
183,3727,-89.4982,43.0563,sonâ€™s ju-jitsu class,errands
183,3763,-89.4979,43.05709,kids martial arts,errands
187,3734,-89.4892,43.02452,kids school,errands
187,3746,-89.3643,43.11166,car mechanic,errands
187,3801,-89.5122,43.05928,salon supply store,errands
188,3836,-89.4159,43.06548,shop,errands
189,3849,-89.3845,43.07637,bank,errands
189,3835,-89.3643,43.11166,car repair,errands
189,3851,-89.3557,43.12497,cap auto clinic,errands
189,3845,-89.3378,43.21807,replacement car,errands
189,3848,-89.329,43.16548,mint julep motors,errands
189,3847,-89.3154,43.1076,bank,errands
189,3850,-89.3029,42.82251,union auto sales,errands
189,3863,-89.3933,43.04134,cell store,errands
191,3877,-89.0694,43.16918,gas station,errands
191,3876,-88.9819,43.18497,gas station,errands
191,3878,-88.91,43.09066,gas station,errands
191,3888,-88.7451,42.84499,daughters sports,errands
191,3939,-89.545,43.09736,auto repair,errands
191,3942,-89.512,43.10549,plant store,errands
193,3976,-77.3965,38.85419,shopping mall,errands
193,4032,-89.3924,43.06778,momâ€™s work,errands
196,4015,-89.3253,43.0709,vet office - dog,errands
196,4050,-89.4067,43.03063,sonâ€™s guitar lessons,errands
197,4054,-88.0369,42.04643,mall,errands
197,4075,-89.5056,43.05698,mall,errands
197,4081,-89.323,43.084,bank,errands
200,4106,-89.4344,43.0731,vapor store,errands
203,4165,-89.507,43.07569,daycare,errands
204,4189,-88.7116,43.18754,sons boarding school,errands
208,4271,-89.2279,43.18116,p.o.,errands
211,4302,-89.3261,43.0539,pet clinic,errands
212,4341,-89.4508,43.18997,momâ€™s work,errands
213,4352,-89.3686,43.07921,puppysitter,errands
213,4339,-89.2116,43.18037,looking at car,errands
213,4340,-89.2115,43.1804,looking at car,errands
213,4393,-89.5459,43.0431,kidâ€™s school,errands
214,4413,-89.5289,43.07877,dmv,errands
214,4426,-89.3959,43.03878,p.o.,errands
215,4452,-89.5289,43.07877,dmv,errands
215,4453,-89.4045,43.07153,girlfriends work,errands
218,4439,-89.3888,43.07497,tattoo shop,errands
221,4463,-90.7185,42.49027,salon,errands
221,4486,-90.6645,42.49552,tattoo shop,errands
222,4540,-89.4344,43.0731,infinite vapor,errands
222,4539,-89.3952,43.04472,st vinnies,errands
222,4532,-89.3032,43.13032,us cellular,errands
222,4561,-89.4003,43.06129,vet,errands
222,4551,-89.3978,43.07295,grocery store,errands
223,4563,-89.4927,43.09491,errands,errands
224,4662,-89.3664,43.04419,garage sale,errands
225,4661,-89.365,43.04447,garage sale,errands
225,4690,-89.3324,43.21737,kidâ€™s school,errands
230,4769,-89.3921,43.07469,boutique,errands
231,4794,-89.3952,43.04472,dig n save,errands
232,4793,-89.2426,42.91958,goodwill,errands
234,4810,-89.3456,43.10176,vet. pick up meds,errands
234,4880,-89.511,43.10772,car lot,errands
236,4893,-89.4624,43.53909,discount smokes,errands
238,4888,-89.0298,43.34449,auto shop,errands
238,4923,-89.4061,43.06811,property manager office,errands
