algorithm,resample,penalty,mixture,n,accuracy,sens,spec,bal_accuracy,roc_auc
glmnet,smote,0.009122880349438393,0.5,10,0.7478167929699642,0.775231618758181,0.29179315734811606,0.5335123880531486,0.5318883706809852
glmnet,smote,0.009122880349438393,0.6,10,0.747106783057333,0.7739538420348148,0.2946331953315445,0.5342935186831796,0.5277850406603836
glmnet,smote,0.009122880349438393,0.7,10,0.754183288325571,0.7827003053581744,0.27633062173044964,0.529515463544312,0.5265241604704933
glmnet,smote,0.009122880349438393,0.8,10,0.7618321838021683,0.791483595464415,0.2504813030334262,0.5209824492489206,0.529319179208197
glmnet,smote,0.009122880349438393,0.9,10,0.7608299421556807,0.7902495355889212,0.25279381523569094,0.5215216754123061,0.5358485085104739
glmnet,smote,0.009122880349438393,1,10,0.7588893092215606,0.7880573388784319,0.24967003546216499,0.5188636871702984,0.54108505959569
glmnet,smote,0.010092531380432784,0,10,0.759587007259151,0.7891350052613688,0.2563690613193581,0.5227520332903635,0.49503508079255215
glmnet,smote,0.010092531380432784,0.05,10,0.7566906367609373,0.7865111772059867,0.2600786773072315,0.5232949272566091,0.49766172788737517
glmnet,smote,0.010092531380432784,0.1,10,0.7529913476709817,0.7839124104508457,0.25015547562208745,0.5170339430364665,0.4978881073612145
glmnet,smote,0.010092531380432784,0.2,10,0.7579833942141501,0.788575466567038,0.253360710443692,0.520968088505365,0.513382871994665
glmnet,smote,0.010092531380432784,0.3,10,0.745497779549381,0.7735363968176134,0.28252812963928087,0.5280322632284471,0.525149108947918
glmnet,smote,0.010092531380432784,0.4,10,0.7422293192365806,0.7695194924513441,0.29070299641787783,0.530111244434611,0.5305689623472146
glmnet,smote,0.010092531380432784,0.5,10,0.7470126620429319,0.7744974199670767,0.29130410857326633,0.5329007642701714,0.5289110670951958
glmnet,smote,0.010092531380432784,0.6,10,0.7491815807509402,0.77749896021385545,0.279718329435805,0.5286086448248303,0.5266040436098607
glmnet,smote,0.010092531380432784,0.7,10,0.7598064919807627,0.7891107550235755,0.25165908207865517,0.5203849185511153,0.5272932887749754
glmnet,smote,0.010092531380432784,0.8,10,0.7627977743479081,0.7925377456205598,0.24896687995650313,0.5207523127885314,0.5343189054277894
glmnet,smote,0.010092531380432784,0.9,10,0.7556601947236583,0.7846783096987128,0.24967003546216499,0.5171741725804389,0.5409152392114959
glmnet,smote,0.010092531380432784,1,10,0.7572606071843744,0.7862456823505135,0.24967003546216499,0.5179578589063393,0.5448539007394462
glmnet,smote,0.011165244502115052,0,10,0.759587007259151,0.7891350052613688,0.2563690613193581,0.5227520332903635,0.49503508079255215
glmnet,smote,0.011165244502115052,0.05,10,0.7578778110521884,0.7880243651567643,0.2585558346676376,0.523290099912201,0.49630128537067864
glmnet,smote,0.011165244502115052,0.1,10,0.754722658420939,0.7857792455039209,0.24859297562208743,0.5171861105630041,0.49857008376404643
glmnet,smote,0.011165244502115052,0.2,10,0.7583415358499159,0.7890375622760477,0.252798912690883,0.5209182374834653,0.5148538812158902
glmnet,smote,0.011165244502115052,0.3,10,0.7431635825800295,0.7710523024797675,0.284767952497397,0.5279101274885822,0.5268353503069599
glmnet,smote,0.011165244502115052,0.4,10,0.7453885473855437,0.773099333451498,0.28730493816545066,0.5302021358084743,0.5301891683776634
glmnet,smote,0.011165244502115052,0.5,10,0.74407350621815,0.7713936872601187,0.29124230600045276,0.5313179966302858,0.5278847055824716
glmnet,smote,0.011165244502115052,0.6,10,0.7498754770341335,0.7783965897694939,0.2779303439897782,0.5281634668796361,0.5266641806251265
glmnet,smote,0.011165244502115052,0.7,10,0.7613677500198728,0.7909990047932448,0.2484352272817667,0.5197171160375057,0.5294504737148436
glmnet,smote,0.011165244502115052,0.8,10,0.759000649204988,0.7881142735201275,0.24814719282257106,0.5181307331713493,0.5403072964468463
glmnet,smote,0.011165244502115052,0.9,10,0.7551971124453739,0.7840461404882558,0.24967003546216499,0.5168580879752104,0.5441964625141724
glmnet,smote,0.011165244502115052,1,10,0.7500762087219075,0.7785724129445698,0.24967003546216499,0.5141212242033674,0.547910239649516
glmnet,smote,0.01235197395905096,0,10,0.759587007259151,0.7891350052613688,0.2563690613193581,0.5227520332903635,0.49503508079255215
glmnet,smote,0.01235197395905096,0.05,10,0.7543128273556109,0.7844822824675056,0.25756278356123574,0.5210225330143707,0.495236798917743
glmnet,smote,0.01235197395905096,0.1,10,0.7597763692925504,0.7911144009667643,0.24683858965717514,0.5189764953119698,0.4999315890283615
glmnet,smote,0.01235197395905096,0.2,10,0.7586584459825749,0.7890941064262923,0.2557115340501063,0.5224028202381993,0.5166869176144756
glmnet,smote,0.01235197395905096,0.3,10,0.7437574631202237,0.7716231333199874,0.2852533893906009,0.5284382613552943,0.5268964382273811
glmnet,smote,0.01235197395905096,0.4,10,0.7460117630863483,0.7739236077792256,0.28536319059263515,0.5296433991859304,0.528750785616281
glmnet,smote,0.01235197395905096,0.5,10,0.7459492237958075,0.7736201264407649,0.2865645117539099,0.53009231909733745,0.5272322678813869
glmnet,smote,0.01235197395905096,0.6,10,0.7578292371118599,0.7874112818264729,0.24810578258626942,0.5177585322063711,0.5273699408826601
glmnet,smote,0.01235197395905096,0.7,10,0.7638273590944176,0.7933096616576079,0.24584310018297717,0.5195763809202925,0.5348346637976162
glmnet,smote,0.01235197395905096,0.8,10,0.7564130177375499,0.7852629248974837,0.24967003546216499,0.5174664801798243,0.5432779753068784
