algorithm,feature_set,hp1,hp2,hp3,resample,n_feats,feature_fun_type,accuracy,bal_accuracy,sens,spec,roc_auc,n_jobs
glmnet,feat_all,0.5,1.541201942573688e-4,NA,up_1,2750,raw,0.7865536073616557,0.5090887893822628,0.8182544939455813,0.19992308481894427,0.48677865309336377,1
glmnet,feat_all,0.5,1.541201942573688e-4,NA,up_1,5500,perc_raw,0.804229093405671,0.5031712777186863,0.8391107726853393,0.16723178275203318,0.47495128812692783,1
glmnet,feat_all,0.5,1.7223225596081014e-4,NA,down_1,2750,perc,0.6764631345573501,0.5227605233200678,0.6935986630451939,0.3519223835949417,0.5265209658439067,1
glmnet,feat_all,0.5,1.7223225596081014e-4,NA,down_1,2750,raw,0.6559564886153504,0.5191075598782394,0.6713946715148363,0.3668204482416425,0.5011432678429938,1
glmnet,feat_all,0.5,1.7223225596081014e-4,NA,down_1,5500,perc_raw,0.6794168284437223,0.5198820987025183,0.6974463836458172,0.3423178137592195,0.5184419857964595,1
glmnet,feat_all,0.5,1.7223225596081014e-4,NA,smote_1,2750,perc,0.7753573771968163,0.5014831087409111,0.8064789542009769,0.19648726328084537,0.48921160430699023,1
glmnet,feat_all,0.5,1.7223225596081014e-4,NA,smote_1,2750,raw,0.7911584487270225,0.5023334791106141,0.8235257159063464,0.1811412423148818,0.48123458176791406,1
glmnet,feat_all,0.5,1.7223225596081014e-4,NA,smote_1,5500,perc_raw,0.796921900613283,0.4972053195605795,0.8313949273979439,0.16301571172321533,0.4763874550491477,1
glmnet,feat_all,0.5,1.7223225596081014e-4,NA,up_1,2750,perc,0.7812130180917731,0.509703475800465,0.8124153367233728,0.2069916148775572,0.5135699491046678,1
glmnet,feat_all,0.5,1.7223225596081014e-4,NA,up_1,2750,raw,0.7858553422231049,0.5088238252997995,0.817460109253953,0.200187541345646,0.48762124489141045,1
glmnet,feat_all,0.5,1.7223225596081014e-4,NA,up_1,5500,perc_raw,0.8029792024901392,0.5033547077693459,0.8376913755656188,0.16901803997307302,0.4753068856152804,1
glmnet,feat_all,0.5,1.924728302886348e-4,NA,down_1,2750,perc,0.6764631345573501,0.5227605233200678,0.6935986630451939,0.3519223835949417,0.5265209658439067,1
glmnet,feat_all,0.5,1.924728302886348e-4,NA,down_1,2750,raw,0.6565341636625042,0.5193382334622177,0.6719895045714276,0.36668696235300785,0.5010456372177701,1
glmnet,feat_all,0.5,1.924728302886348e-4,NA,down_1,5500,perc_raw,0.6794168284437223,0.5198820987025183,0.6974463836458172,0.3423178137592195,0.5184419857964595,1
glmnet,feat_all,0.5,1.924728302886348e-4,NA,smote_1,2750,perc,0.7741364319714946,0.501393591989326,0.8052611055417719,0.19752607843688005,0.4889064396849222,1
glmnet,feat_all,0.5,1.924728302886348e-4,NA,smote_1,2750,raw,0.7903750575596868,0.5021628974412142,0.8227427131264916,0.18158308175593693,0.4811165762271941,1
glmnet,feat_all,0.5,1.924728302886348e-4,NA,smote_1,5500,perc_raw,0.7962952179154631,0.4989450176199221,0.8305834168413577,0.16730661839848626,0.4754612400391618,1
glmnet,feat_all,0.5,1.924728302886348e-4,NA,up_1,2750,perc,0.7808083078142438,0.5103195628920716,0.8119440656104634,0.20869506017367984,0.5142663401013988,1
