job_num,n_fold,n_repeat,algorithm,rec,accuracy,sens,spec,bal_accuracy,roc_auc
64,4,7,random_forest,rec_best,0.667953667953668,0.6909090909090909,0.6666666666666666,0.6787878787878787,0.7340353072004449
65,5,7,random_forest,rec_best,0.6690537084398976,0.4863013698630137,0.6838032061912659,0.5850522880271398,0.6280261553723013
66,6,7,random_forest,rec_best,0.7027734170591313,0.5057471264367817,0.712171052631579,0.6089590895341803,0.6435206190764267
67,7,7,random_forest,rec_best,0.7617079889807162,0.16,0.7758458646616542,0.4679229323308271,0.48695958646616544
68,8,7,random_forest,rec_best,0.7307885484681065,0.5655737704918032,0.7415730337078652,0.6535734020998343,0.6879544597356348
69,9,7,random_forest,rec_best,0.7215007215007215,0.5142857142857142,0.7325227963525835,0.6234042553191489,0.697599749119506
7,7,1,random_forest,rec_best,0.762855716425362,0.4782608695652174,0.7765567765567766,0.627408823060997,0.7069170477555571
70,10,7,random_forest,rec_best,0.7741483901073262,0.4117647058823529,0.7891156462585034,0.6004401760704281,0.6546875893214429
71,1,8,random_forest,rec_best,0.7157894736842105,0.30612244897959184,0.72562469377756,0.5158735713785759,0.5413312801847834
72,2,8,random_forest,rec_best,0.7083333333333334,0.3720930232558139,0.7224390243902439,0.5472660238230289,0.6271866137266023
73,3,8,random_forest,rec_best,0.7039693926351028,0.5655172413793104,0.7142857142857143,0.6399014778325123,0.6878583832441436
74,4,8,random_forest,rec_best,0.6393523061825319,0.6434108527131783,0.6390780513357779,0.6412444520244781,0.7123032067603071
75,5,8,random_forest,rec_best,0.576138147566719,0.6071428571428571,0.5714285714285714,0.5892857142857142,0.6357721710343772
76,6,8,random_forest,rec_best,0.7312252964426877,0.41379310344827586,0.750524109014675,0.5821586062314754,0.6308781536904504
77,7,8,random_forest,rec_best,0.7321951219512195,0.21212121212121213,0.7494959677419355,0.4808085899315738,0.45194510630498536
78,8,8,random_forest,rec_best,0.7812068171349609,0.1746031746031746,0.7993358633776091,0.4869695189903918,0.5747191349658143
79,9,8,random_forest,rec_best,0.7469166255550074,0.6578947368421053,0.7503844182470528,0.7041395775445791,0.7609323154117996
8,8,1,random_forest,rec_best,0.7237373737373738,0.7766990291262136,0.7208311134789558,0.7487650713025846,0.8012605324547021
80,10,8,random_forest,rec_best,0.6944172380019589,0.5106382978723404,0.6987468671679198,0.6046925825201301,0.6320961979416627
81,1,9,random_forest,rec_best,0.7433665008291874,0.26229508196721313,0.7558485750744364,0.5090718285208248,0.5669613906883014
82,2,9,random_forest,rec_best,0.7399794450154162,0.5966386554621849,0.7493158182813355,0.6729772368717601,0.7106221799064454
83,3,9,random_forest,rec_best,0.6255060728744939,0.25,0.6594922737306843,0.45474613686534215,0.45706637322995747
84,4,9,random_forest,rec_best,0.7323503127792672,0.2923076923076923,0.7455131155085136,0.518910403908103,0.5771283939254487
85,5,9,random_forest,rec_best,0.7003666841278157,0.3153153153153153,0.7241379310344828,0.519726623174899,0.5657687721091503
86,6,9,random_forest,rec_best,0.763516690173954,0.6176470588235294,0.7708641975308642,0.6942556281771968,0.7709900750423626
87,7,9,random_forest,rec_best,0.7805232558139535,0.5351351351351351,0.8046833422032996,0.6699092386692174,0.760339743681947
88,8,9,random_forest,rec_best,0.7435046987285793,0.6707317073170732,0.7469600463231036,0.7088458768200885,0.777899783919669
89,9,9,random_forest,rec_best,0.6771573604060914,0.4157303370786517,0.6895268474215842,0.552628592250118,0.5820326266807638
9,9,1,random_forest,rec_best,0.7370775347912525,0.35374149659863946,0.7672922252010724,0.560516860899856,0.5977075012310554
90,10,9,random_forest,rec_best,0.7087834664161579,0.7647058823529411,0.7074109720885466,0.7360584272207439,0.8326728188869388
91,1,10,random_forest,rec_best,0.6395147313691508,0.6197183098591549,0.6401430487259723,0.6299306792925636,0.6760154129965308
92,2,10,random_forest,rec_best,0.779874213836478,0.6343283582089553,0.7908680947012401,0.7125982264550976,0.7570504299247842
93,3,10,random_forest,rec_best,0.7157001414427157,0.36283185840707965,0.7355577689243028,0.5491948136656912,0.5675131333074781
94,4,10,random_forest,rec_best,0.685336048879837,0.5164835164835165,0.6935397757608115,0.605011646122164,0.6312667578017285
95,5,10,random_forest,rec_best,0.7390219560878244,0.20618556701030927,0.7661248033560566,0.4861551851831829,0.5382259607847377
96,6,10,random_forest,rec_best,0.8393351800554016,0.3157894736842105,0.8534850640113798,0.5846372688477952,0.64993802666932865
97,7,10,random_forest,rec_best,0.8259045621394862,0.4335260115606937,0.8650519031141869,0.6492889573374403,0.7039255688674654
98,8,10,random_forest,rec_best,0.6482504604051565,0.6033057851239669,0.6509019990248659,0.6271038920744164,0.6897723746932558
99,9,10,random_forest,rec_best,0.71408516612073,0.47619047619047616,0.7238188017535314,0.6000046389720037,0.6443416138983601
