algorithm,rec,job,bal_accuracy
glmnet,rec_active,149,0.5602723848159954
glmnet,rec_active,150,0.5923539012939811
glmnet,rec_active,151,0.6021566005349088
glmnet,rec_active,152,0.46056538662172464
glmnet,rec_active,153,0.6378926038500506
glmnet,rec_active,154,0.5891407443131581
glmnet,rec_active,155,0.6041683356030868
glmnet,rec_active,156,0.7514804603212659
glmnet,rec_active,157,0.513558410838127
glmnet,rec_active,158,0.6326999432785025
glmnet,rec_active,159,0.5602723848159954
glmnet,rec_active,160,0.5923539012939811
glmnet,rec_active,161,0.6021566005349088
glmnet,rec_active,162,0.46056538662172464
glmnet,rec_active,163,0.6378926038500506
glmnet,rec_active,164,0.5891407443131581
glmnet,rec_active,165,0.6041683356030868
glmnet,rec_active,166,0.7514804603212659
glmnet,rec_active,167,0.513558410838127
glmnet,rec_active,168,0.6326999432785025
glmnet,rec_active,169,0.5602723848159954
glmnet,rec_active,170,0.5923539012939811
glmnet,rec_active,171,0.6021566005349088
glmnet,rec_active,172,0.46056538662172464
glmnet,rec_active,173,0.6378926038500506
glmnet,rec_active,174,0.5891407443131581
glmnet,rec_active,175,0.6041683356030868
glmnet,rec_active,176,0.7514804603212659
glmnet,rec_active,177,0.513558410838127
glmnet,rec_active,178,0.6326999432785025
glmnet,rec_active,179,0.5602723848159954
glmnet,rec_active,180,0.5923539012939811
glmnet,rec_active,181,0.6021566005349088
glmnet,rec_active,182,0.46056538662172464
glmnet,rec_active,183,0.6378926038500506
glmnet,rec_active,184,0.5891407443131581
glmnet,rec_active,185,0.6041683356030868
glmnet,rec_active,186,0.7514804603212659
glmnet,rec_active,187,0.513558410838127
glmnet,rec_active,188,0.6326999432785025
glmnet,rec_active,189,0.5602723848159954
glmnet,rec_active,190,0.5923539012939811
glmnet,rec_active,191,0.6021566005349088
glmnet,rec_active,192,0.46056538662172464
glmnet,rec_active,193,0.6378926038500506
glmnet,rec_active,194,0.5891407443131581
glmnet,rec_active,195,0.6041683356030868
glmnet,rec_active,196,0.7514804603212659
glmnet,rec_active,197,0.513558410838127
glmnet,rec_active,198,0.6326999432785025
glmnet,rec_active,199,0.5602723848159954
glmnet,rec_active,200,0.5923539012939811
glmnet,rec_active,201,0.5221624013570323
glmnet,rec_active,202,0.6346467989602125
glmnet,rec_active,203,0.5730466874699952
glmnet,rec_active,204,0.38608837364346826
glmnet,rec_active,205,0.5533882783882784
glmnet,rec_active,206,0.5648523154966454
glmnet,rec_active,207,0.6454193849021436
glmnet,rec_active,208,0.6267710954389198
glmnet,rec_active,209,0.5033852904754212
glmnet,rec_active,210,0.5338513203821881
glmnet,rec_active,211,0.5221624013570323
glmnet,rec_active,212,0.6346467989602125
glmnet,rec_active,213,0.5730466874699952
glmnet,rec_active,214,0.38608837364346826
glmnet,rec_active,215,0.5533882783882784
glmnet,rec_active,216,0.5648523154966454
glmnet,rec_active,217,0.6454193849021436
glmnet,rec_active,218,0.6267710954389198
glmnet,rec_active,219,0.5033852904754212
glmnet,rec_active,220,0.5338513203821881
glmnet,rec_active,221,0.5221624013570323
glmnet,rec_active,222,0.6346467989602125
glmnet,rec_active,223,0.5730466874699952
glmnet,rec_active,224,0.38608837364346826
glmnet,rec_active,225,0.5533882783882784
glmnet,rec_active,226,0.5648523154966454
glmnet,rec_active,227,0.6454193849021436
glmnet,rec_active,228,0.6267710954389198
glmnet,rec_active,229,0.5033852904754212
glmnet,rec_active,230,0.5338513203821881
