job_num,n_fold,n_repeat,algorithm,rec,accuracy,sens,spec,bal_accuracy,roc_auc
23,3,3,glmnet,rec_active,0.6530518586507572,0.4479166666666667,0.6625060009601537,0.5552113338134101,0.590824531925108
24,4,3,glmnet,rec_active,0.8019184652278177,0.5121951219512195,0.8137793310034948,0.6629872264773571,0.746599612775958
25,5,3,glmnet,rec_active,0.7724324324324324,0.39759036144578314,0.7900396151669496,0.5938149883063664,0.68630378901003
26,6,3,glmnet,rec_active,0.6697336561743341,0.6224489795918368,0.672089476359939,0.6472692279758878,0.6842544847120343
27,7,3,glmnet,rec_active,0.6658428077113199,0.44936708860759494,0.6841823056300268,0.5667746971188109,0.5646112600536193
28,8,3,glmnet,rec_active,0.7729119638826185,0.2222222222222222,0.779707495429616,0.5009648588259191,0.5510782720563342
29,9,3,glmnet,rec_active,0.6829030686799805,0.4645669291338583,0.6973001038421599,0.5809335164880091,0.602768987988651
30,10,3,glmnet,rec_active,0.7213720316622692,0.4,0.747008547008547,0.5735042735042735,0.6198046398046398
31,1,4,glmnet,rec_active,0.8283302063789869,0.611764705882353,0.8373229115779189,0.7245438087301359,0.8034656168280697
32,2,4,glmnet,rec_active,0.8371414681575109,0.3916083916083916,0.8704284221525601,0.6310184068804758,0.7052798298879803
33,3,4,glmnet,rec_active,0.6657789613848203,0.12244897959183672,0.677858439201452,0.4001537093966443,0.2840197785103152
34,4,4,glmnet,rec_active,0.8189015338941118,0.5116279069767442,0.8255813953488372,0.6686046511627908,0.7777999858913162
35,5,4,glmnet,rec_active,0.7733529990167158,0.4806201550387597,0.7931758530183727,0.6368980040285662,0.6442735355754949
36,6,4,glmnet,rec_active,0.6484453360080241,0.6236559139784946,0.6496580746975276,0.6366569943380112,0.7159389794844818
37,7,4,glmnet,rec_active,0.5943775100401606,0.5384615384615384,0.5958762886597938,0.5671689135606661,0.5957622918318795
38,8,4,glmnet,rec_active,0.7891593936610014,0.7264150943396226,0.7923708353452439,0.7593929648424332,0.8026475223891476
39,9,4,glmnet,rec_active,0.7161778618732261,0.24770642201834864,0.741645885286783,0.4946761536525658,0.543773593539088
40,10,4,glmnet,rec_active,0.7015503875968992,0.45,0.7364438839848676,0.5932219419924338,0.6296099392410868
41,1,5,glmnet,rec_active,0.705595026642984,0.5806451612903226,0.7109773043075498,0.6458112327989363,0.6879379641112223
42,2,5,glmnet,rec_active,0.747923790913532,0.40789473684210525,0.76103500761035,0.5844648722262277,0.6386552377900612
43,3,5,glmnet,rec_active,0.7530386740331492,0.43846153846153846,0.7773809523809524,0.6079212454212455,0.6431776556776557
44,4,5,glmnet,rec_active,0.816227834497582,0.6190476190476191,0.8305475504322767,0.7247975847399479,0.7847811170577741
45,5,5,glmnet,rec_active,0.5221198156682028,0.3,0.5273584905660378,0.4136792452830189,0.4048443396226415
46,6,5,glmnet,rec_active,0.68158953722334,0.3675213675213675,0.7012292891501871,0.5343753283357773,0.5398205630701622
47,7,5,glmnet,rec_active,0.726296123306866,0.6043956043956044,0.7317073170731707,0.6680514607343875,0.7363870276065397
48,8,5,glmnet,rec_active,0.8143904674610449,0.208955223880597,0.8335697399527187,0.5212624819166578,0.5353586676546346
49,9,5,glmnet,rec_active,0.8091709124594719,0.664,0.8180924287118977,0.7410462143559489,0.75592133726647
50,10,5,glmnet,rec_active,0.7406091370558375,0.4220779220779221,0.7676211453744494,0.5948495337261857,0.6637447079352365
51,1,6,glmnet,rec_active,0.709582102152807,0.6222222222222222,0.7130320315928038,0.667627126907513,0.7118473014480036
52,2,6,glmnet,rec_active,0.6416584402764067,0.8372093023255814,0.6329896907216495,0.7350994965236155,0.8596199952049869
53,3,6,glmnet,rec_active,0.6780464675201517,0.3888888888888889,0.68826705940108,0.5385779741449844,0.5989267986690667
