algorithm,resample,penalty,mixture,n,accuracy,sens,spec,bal_accuracy,roc_auc
glmnet,down,0.008246389605637307,0.05,10,0.7139124419278968,0.7413519061624189,0.2711477361953502,0.5062498211788845,0.49942165764418023
glmnet,down,0.008246389605637307,0.1,10,0.719442313064801,0.747437630063641,0.25428404481694517,0.5008608374402931,0.499267335268695
glmnet,down,0.008246389605637307,0.2,10,0.7049158974461615,0.7296487738561249,0.28774298758843236,0.5086958807222786,0.503960766486123
glmnet,down,0.008246389605637307,0.3,10,0.7144179724250674,0.7395756878425758,0.28696173758843235,0.513268712715504,0.5115210482850566
glmnet,down,0.008246389605637307,0.4,10,0.7228340824363136,0.7484249088051124,0.28834041405902056,0.5183826614320665,0.5195545840048401
glmnet,down,0.008246389605637307,0.5,10,0.7269413741459955,0.7529690658239206,0.2942583957179763,0.5236137307709485,0.5282175891916626
glmnet,down,0.008246389605637307,0.6,10,0.7268802007278183,0.7527022518390579,0.29657457943569754,0.5246384156373778,0.5305685809794152
glmnet,down,0.008246389605637307,0.7,10,0.7310509339125658,0.7572597573640723,0.2947193703469859,0.5259895638555291,0.5281594068954752
glmnet,down,0.008246389605637307,0.8,10,0.7302087952354187,0.7569971135996665,0.28963742923395347,0.52331727141681,0.5299019011228777
glmnet,down,0.008246389605637307,0.9,10,0.734815392604131,0.7631125704226687,0.27427556624179156,0.5186940683322301,0.5279462299214627
glmnet,down,0.008246389605637307,1,10,0.7339540869984498,0.7619336697834144,0.25584495975681687,0.5088893147701156,0.5297562671237047
glmnet,down,0.009122880349438393,0,10,0.7266311486086036,0.7548882418258048,0.26463382457505563,0.5097610332004302,0.4955231433940781
glmnet,down,0.009122880349438393,0.05,10,0.7124507522310362,0.7399378776327642,0.2690200766208821,0.5044789771268231,0.49882057459591034
glmnet,down,0.009122880349438393,0.1,10,0.7181693610047363,0.7460940496431565,0.25428404481694517,0.5001890472300509,0.49873723035608136
glmnet,down,0.009122880349438393,0.2,10,0.7125205941553983,0.737561327380545,0.28774298758843236,0.5126521574844887,0.5066396947638033
glmnet,down,0.009122880349438393,0.3,10,0.7175766347514517,0.742973364397771,0.28539923758843233,0.5141863009931016,0.5141457099202328
glmnet,down,0.009122880349438393,0.4,10,0.7284514272625282,0.7544438603290801,0.29131721924738807,0.522880539788234,0.5233827115061704
glmnet,down,0.009122880349438393,0.5,10,0.7328843125355342,0.7590762397369174,0.2942583957179763,0.5266673177274468,0.5292807265943884
glmnet,down,0.009122880349438393,0.6,10,0.7301853794129937,0.7561296914620241,0.29716981753093563,0.5266497544964799,0.529708497001542
glmnet,down,0.009122880349438393,0.7,10,0.731844099607042,0.7583033122895739,0.29192093781505085,0.5251121250523124,0.5291085482907238
glmnet,down,0.009122880349438393,0.8,10,0.7318162905140478,0.7585715445342417,0.28900037301943965,0.5237859587768406,0.5292881628704416
